District,Code,Party,Incumbent Name,,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,Openly LGBTQ,Pre-2016 Incumbent,2016 US House,,2014 US House,,2012 Two-Party,,2016 President,,2012 President,,2008 President,,2010 Census Adult Population by Race,,,,,,2016 American Community Survey Income and Education,,,,,,2013-2017 House Specials,,,,2016 President,,,2012 President,,,2008 President,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,Special Elections,,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,
,,,First,Last,Phonetic,IPA,,,,,,,,Dem,Rep,Dem,Rep,Dem,Rep,Clinton,Trump,Obama,Romney,Obama,McCain,White,Black,Latino,Asian and Pacific Islander,Native,Other,Bachelor's Degree or Higher Among Age 25+,BA Rank,White BA,White Rank,Median Income (Household),Income Rank,Date,Dem,Rep,,Total,Clinton,Trump,Total,Obama,Romney,Total,Obama,McCain,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Dem,Rep,Total,Dem,Rep,Other,Total,White,Black,Latino, Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other
New York 10th,NY-10,Democratic,Jerry,Nadler,(JAIR-ee NADD-ler),/'dʒɛ.ɹi 'næd.ləɹ/,1992 Special,1947,Man,White - Non-Hispanic,Jewish,No,Re-elected,78.0,21.9,87.4,0,80.8,19.2,78.3,18.8,73.6,25.0,75.7,23.4,65.5,4.0,11.9,16.8,0.1,1.8,60.3 ,7 ,71.1 ,6 ,"$85,756",37,,,,267,"261,945","205,114","49,179","235,821","173,650","58,992","259,039","195,974","60,682","246,216","192,122","53,806",288,"101,881","89,080",0,"12,801","165,743","39,413",,,,,"716,260","468,129","26,602","86,976","118,122",668,"15,763","580,997","380,321","23,210","68,915","97,406",502,"10,643"
New York 11th,NY-11,Republican,Dan,Donovan,(DANN DAHN-oh-vuhn),/dæn 'dɑ.noʊ.vən/,2015 Special,1956,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,36.7,61.5,42.1,54.8,47.3,52.7,43.8,53.6,51.6,47.3,48.3,50.9,66.8,6.3,13.9,11.5,0.1,1.3,34.4 ,133 ,37.8 ,160 ,"$71,072",88,5-May-15,40.1,58.3,268,"248,457","108,807","133,232","213,991","110,407","101,262","231,976","112,035","118,106","232,317","85,257","142,934","4,126","107,363","45,244","58,886","3,233","92,430","103,118","42,509","17,049","24,797",663,"717,007","460,023","49,361","112,464","82,346",937,"11,876","556,859","372,108","35,303","77,422","63,896",677,"7,453"
New York 12th,NY-12,Democratic,Carolyn,Maloney,(KAIR-uh-luhn muh-LOH-nee),/'kɛ.rə.lən mə.'loʊ.ni/,1992,1948,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,83.1,16.8,79.9,20.0,80.6,19.4,83.3,13.5,76.9,21.5,80.1,18.9,68.5,4.5,12.3,12.6,0.1,2.0,72.2 ,1 ,80.3 ,1 ,"$100,281",13,,,,269,"306,909","255,601","41,383","267,692","205,919","57,575","303,389","243,155","57,238","293,858","244,199","49,350",309,"113,429","90,603","22,731",95,"194,370","46,841",,,,,"714,002","477,788","33,212","95,507","89,018",784,"17,693","632,656","433,299","28,199","77,976","79,587",634,"12,961"
New York 13th,NY-13,Democratic,Adriano,Espaillat,(ah-dree-AH-noh es-pahy-AHT) [R is trilled in Spanish],/ˌɑ.dri.'ɑ.no ɛs.paɪ.'jɑt/,2016,1954,Man,Hispanic - Dominican,Christian - Roman Catholic,No,Open - Retired,88.6,6.9,87.3,0,93.5,6.5,92.3,5.4,94.6,4.6,93.3,6.1,14.1,27.1,52.6,4.3,0.2,1.7,31.0 ,177 ,71.7 ,5 ,"$41,103",407,,,,270,"252,393","232,925","13,727","231,787","219,361","10,558","242,035","225,863","14,845","233,521","206,994","16,083","10,444","78,353","68,396",0,"9,957","175,016","12,147",,,,,"717,786","88,040","191,448","395,346","28,345","1,507","13,100","556,707","78,594","150,964","292,926","23,669","1,101","9,453"
New York 14th,NY-14,Democratic,Joe,Crowley,(JOH KROW-lee) [rhymes with cow],/dʒoʊ 'kɹaʊ.li/,1998,1962,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,82.8,17.1,88.0,0,84.7,15.3,77.7,19.8,80.7,18.3,76.1,23.2,27.5,9.8,44.8,15.7,0.1,1.9,25.6 ,281 ,39.5 ,144 ,"$53,512",247,,,,271,"194,923","151,407","38,560","169,552","136,783","30,978","177,831","135,243","41,288","178,323","147,587","30,545",191,"57,204","50,352",0,"6,852","120,761","21,755",,,,,"718,956","180,405","68,716","340,333","112,822","1,301","15,379","569,765","156,944","55,923","255,405","89,677",792,"11,024"
New York 15th,NY-15,Democratic,José,Serrano,(hoh-ZAY sair-AH-noh),/hoʊ.'zeɪ sɛ.'ɹɑ.noʊ/,1990 Special,1943,Man,Hispanic - Puerto Rican,Christian - Roman Catholic,No,Re-elected,95.2,3.5,97.1,0,97.2,2.8,93.8,4.9,96.7,3.0,94.6,5.2,2.7,29.4,64.3,1.9,0.2,1.4,12.4 ,428 ,27.7 ,303 ,"$29,234",435,,,,272,"191,383","179,454","9,371","177,129","171,366","5,315","180,295","170,498","9,382","174,036","165,688","6,129","2,219","56,563","54,906",0,"1,657","152,661","4,427",,,,,"717,177","16,683","207,587","468,193","12,599","1,750","10,365","504,655","13,803","148,231","324,538","9,718","1,097","7,268"
New York 16th,NY-16,Democratic,Eliot,Engel,(EL-ee-uht AYN-guhl),/'ɛ.li.ət ˈeɪŋ.gəl/,1988,1947,Man,White - Non-Hispanic,Jewish,No,Re-elected,94.4,0,99.3,0,76.9,23.1,75.1,22.5,73.7,25.5,72.9,26.4,41.9,30.1,21.3,4.7,0.2,1.9,40.6 ,77 ,57.5 ,31 ,"$69,086",101,,,,273,"283,114","212,644","63,590","267,814","197,365","68,373","282,279","205,897","74,591","222,230","209,857",0,"12,373","100,391","99,658",0,733,"179,562","53,935",,,,,"720,278","284,884","217,509","166,839","33,438","1,479","16,129","549,246","229,997","165,324","116,799","25,739","1,061","10,326"
New York 17th,NY-17,Democratic,Nita,Lowey,(NEE-tuh LOH-wee),/'ni.tə 'loʊ.wi/,1988,1937,Woman,White - Non-Hispanic,Jewish,No,Re-elected,99.1,0,56.4,43.5,65.1,34.9,58.6,38.4,57.1,41.8,58.0,41.2,64.0,10.0,18.7,5.9,0.1,1.2,44.5 ,47 ,52.2 ,50 ,"$94,451",22,,,,274,"318,220","186,437","122,339","294,401","168,020","123,190","313,081","181,604","128,934","216,585","214,530",0,"2,055","174,062","98,158","75,781",123,"171,417","91,899",,,,,"712,306","449,438","69,360","139,459","41,121",818,"12,110","531,665","340,399","53,172","99,501","31,429",592,"6,572"
New York 18th,NY-18,Democratic,Sean Patrick,Maloney,(shawn PAT-chrik muh-LOH-nee),/ʃɔn 'pæ.tʃɹɪk mə'loʊ.ni/,2012,1966,Man,White - Non-Hispanic,Christian - Roman Catholic,Gay,Re-elected,55.6,44.4,49.7,47.8,51.9,48.1,47.1,49.0,51.4,47.1,52.1,46.9,74.3,8.2,13.1,2.9,0.2,1.4,35.7 ,125 ,39.1 ,148 ,"$80,493",48,,,,275,"310,455","146,175","152,137","290,894","149,610","137,144","312,234","162,618","146,308","291,527","162,060","129,369",98,"179,091","88,993","85,660","4,438","143,845","133,049",,,,,"719,723","516,970","60,095","106,451","20,631","1,359","14,217","536,296","398,549","44,016","70,038","15,322","1,059","7,312"
New York 19th,NY-19,Republican,John,Faso,(JAHN FASS-oh),/dʒɑn 'fæ.soʊ/,2016,1952,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,45.7,54.2,35.5,64.5,47.2,52.8,44.0,50.8,52.1,45.9,53.0,45.3,87.9,4.0,5.4,1.3,0.2,1.1,29.2 ,216 ,30.1 ,270 ,"$59,619",186,,,,276,"319,444","140,515","162,260","303,112","157,967","138,981","331,779","175,763","150,323","303,852","138,800","164,800",252,"204,173","72,470","131,594",109,"134,295","150,245",,,,,"717,341","619,384","29,089","45,225","9,806","1,450","12,387","568,027","499,401","22,810","30,611","7,549","1,186","6,470"
New York 20th,NY-20,Democratic,Paul,Tonko,(PAWL TAHN-koh),/pɔl 'tɑŋ.koʊ/,2008,1949,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,67.9,32.1,61.2,38.7,68.4,31.6,54.0,40.5,59.2,38.8,58.3,39.8,82.6,7.7,4.2,3.5,0.2,1.8,38.7 ,89 ,41.1 ,126 ,"$64,226",140,,,,277,"325,088","175,390","131,559","315,032","186,460","122,230","340,274","198,366","135,529","313,942","213,021","100,738",183,"204,329","125,111","79,104",114,"203,401","93,778",,,,,"717,751","571,278","61,694","37,650","26,280","1,338","19,511","565,607","467,009","43,570","23,891","19,872","1,012","10,253"
New York 21st,NY-21,Republican,Elise,Stefanik,(uh-LEES stih-FAH-nik),/ə.'lis stɪ.'fɑ.nɪk/,2014,1984,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,30.1,65.3,33.8,55.1,51.0,49.0,40.0,53.9,52.2,46.1,51.7,46.7,92.1,2.9,2.4,0.8,0.8,0.9,23.2 ,327 ,23.6 ,381 ,"$52,350",259,,,,278,"279,438","111,760","150,481","265,850","138,889","122,471","290,642","150,137","135,821","272,606","82,161","177,886","12,559","174,668","59,063","96,226","19,379","126,631","121,646",,,,,"718,128","657,759","18,944","19,159","5,955","6,217","10,094","560,156","516,165","16,127","13,459","4,649","4,546","5,210"
New York 22nd,NY-22,Republican,Claudia,Tenney,(KLAW-dee-uh TEN-ee),/'klɔ.ɾi.ə 'tɛ.ni/,2016,1961,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Open - Retired,41.0,46.5,0,98.4,39.3,60.7,39.3,54.8,48.8,49.2,49.1,49.1,90.7,3.3,2.5,2.1,0.3,1.0,26.0 ,275 ,26.5 ,322 ,"$52,967",253,,,,279,"289,954","114,016","158,913","277,217","135,172","136,500","302,473","148,425","148,580","278,531","114,266","129,444","34,821","131,932",0,"129,851","2,081","102,080","157,941",,,,,"717,428","640,110","25,634","22,476","15,399","1,873","11,936","562,336","510,303","18,632","14,321","11,787","1,506","5,787"
New York 23rd,NY-23,Republican,Tom,Reed,(TAHM REED),/tɑm ɹid/,2010 Special,1971,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,42.4,57.6,38.3,61.7,48.1,51.9,39.7,54.5,48.4,49.6,49.6,48.8,91.1,2.6,2.7,2.1,0.5,1.1,26.1 ,274 ,25.7 ,342 ,"$48,730",328,,,,280,"290,013","115,010","158,155","276,891","133,949","137,312","303,285","150,412","147,913","279,735","118,584","161,050",101,"183,481","70,242","113,130",109,"127,535","137,669",,,,,"715,904","644,134","18,738","22,745","13,705","4,034","12,548","561,120","511,079","14,565","14,876","11,591","2,922","6,087"
New York 24th,NY-24,Republican,John,Katko,(JAHN KAT-koh),/dʒɑn 'kæt.koʊ/,2014,1962,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,39.4,60.5,40.3,59.5,53.0,47.0,48.9,45.3,57.0,41.1,56.2,42.0,86.2,6.8,2.9,2.2,0.6,1.3,30.3 ,191 ,31.4 ,243 ,"$56,388",215,,,,281,"308,574","151,021","139,763","300,621","171,502","123,534","323,571","181,776","135,928","302,115","119,040","182,761",314,"199,222","80,304","118,474",444,"143,044","127,054",,,,,"717,111","600,220","55,154","26,233","15,978","4,161","15,365","553,204","476,812","37,739","16,208","12,193","3,306","6,946"
New York 25th,NY-25,Democratic,Louise,Slaughter,(loo-EES SLAW-ter),/lu.'is 'slɔ.ɾəɹ/,1986,1929,Woman,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,56.1,43.8,50.2,49.7,57.4,42.6,55.5,39.1,58.8,39.4,58.8,39.9,75.9,13.2,6.0,3.3,0.2,1.3,37.3 ,104 ,42.9 ,113 ,"$53,723",245,,,,282,"329,443","182,896","128,955","319,454","187,753","125,897","342,056","201,012","136,481","325,831","182,950","142,650",231,"192,971","96,803","95,932",236,"179,810","133,389",,,,,"717,894","517,207","107,007","53,459","23,957","1,519","14,745","555,664","421,837","73,268","33,483","18,571","1,231","7,274"
New York 26th,NY-26,Democratic,Brian,Higgins,(BRAHY-uhn HIG-inz),/'braɪ.ən 'hɪ.gɪnz/,2004,1959,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,74.6,25.4,68.1,31.8,74.8,25.2,57.6,38.0,63.9,34.3,63.4,35.0,75.1,15.9,4.3,3.0,0.5,1.2,30.8 ,182 ,34.1 ,201 ,"$47,358",348,,,,283,"304,440","175,336","115,558","302,388","193,362","103,743","328,709","208,504","115,099","288,679","215,289","73,377",13,"166,124","113,210","52,909",5,"212,588","71,666",,,,,"716,906","512,316","126,679","38,873","21,521","3,566","13,951","565,026","424,531","90,025","24,145","16,871","2,717","6,737"
New York 27th,NY-27,Republican,Chris,Collins,(KRISS KAH-linz),/kɹɪs 'kɑ.lɪnz/,2012,1950,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,32.8,67.2,28.9,71.0,49.2,50.8,35.2,59.7,42.9,55.3,44.5,53.9,93.5,2.4,1.8,0.9,0.7,0.7,30.7 ,184 ,31.0 ,250 ,"$62,698",149,,,,284,"346,762","122,102","206,866","326,828","140,176","180,703","345,902","153,862","186,554","328,809","107,832","220,885",92,"203,645","58,911","144,675",59,"156,219","161,220",,,,,"719,760","667,248","16,414","15,737","6,587","5,114","8,660","560,034","523,730","13,656","10,146","4,820","3,777","3,905"
North Carolina 1st,NC-01,Democratic,G.K.,Butterfield,(JEE-kay BUH-ter-feel),/'dʒi.keɪ 'bʌ.ɾəɹ.fil/,2004 Special,1947,Man,Black - African-American,Christian - Baptist,No,Re-elected,68.6,29.0,      Redrawn,,      Redrawn,,67.5,30.5,68.1,31.2,67.4,32.2,46.2,44.4,6.6,2.0,0.8,3.8,27.7 ,246 ,37.7 ,163 ,"$40,895",411,,,,285,"354,704","239,585","108,100","358,529","244,167","111,993","343,389","231,441","110,476","350,699","240,661","101,567","8,471",,,,,,,,,,,"733,323","314,598","341,018","58,595","13,468","6,100","34,353","567,106","262,060","252,060","37,362","11,187","4,544","21,682"
North Carolina 2nd,NC-02,Republican,George,Holding,(JORJ HOLE-ding),/dʒɔɹdʒ 'hoʊl.dɪŋg/,2012,1968,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,43.3,56.7,      Redrawn,,      Redrawn,,43.6,53.2,43.0,56.0,44.8,54.3,70.7,19.7,7.1,1.8,0.6,3.6,36.2 ,117 ,40.5 ,132 ,"$65,792",131,,,,286,"397,167","173,131","211,450","367,350","158,037","205,651","340,695","152,560","185,058","390,567","169,082","221,485",0,,,,,,,,,,,"734,740","500,909","149,478","64,463","13,235","4,685","32,264","530,179","374,585","104,330","37,786","9,400","3,198","19,341"
North Carolina 3rd,NC-03,Republican,Walter,Jones,(WAWL-tuh JOHNZ),/'wɔl.tə dʒoʊnz/,1994,1943,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,32.8,67.2,      Redrawn,,      Redrawn,,36.9,60.5,40.6,58.5,42.7,57.0,71.2,21.2,5.4,1.4,0.5,2.4,22.8 ,336 ,25.9 ,337 ,"$47,565",344,,,,287,"328,451","121,094","198,864","319,093","129,535","186,723","310,406","132,447","176,953","323,701","106,170","217,531",0,,,,,,,,,,,"732,627","502,246","166,389","47,782","9,830","3,583","20,321","563,610","401,447","119,564","30,321","7,617","2,778","13,272"
North Carolina 4th,NC-04,Democratic,David,Price,(DAY-vid PRICE),/'deɪ.vɪd pɹaɪs/,"1996, 1986-1994",1940,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,68.2,31.8,      Redrawn,,      Redrawn,,68.2,28.2,64.5,34.2,65.8,33.2,61.6,22.4,8.7,6.6,0.4,4.2,54.5 ,16 ,63.9 ,17 ,"$70,587",91,,,,288,"412,533","281,517","116,383","392,923","253,331","134,265","363,329","238,947","120,713","409,541","279,380","130,161",0,,,,,,,,,,,"733,218","424,627","176,841","75,661","50,555","3,520","36,743","561,968","346,286","125,884","48,821","37,350","2,464","23,586"
North Carolina 5th,NC-05,Republican,Virginia,Foxx,(ver-JIN-yuh FAHKS),/vəɹ.'dʒɪn.jə fɑks/,2004,1943,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,41.6,58.4,      Redrawn,,      Redrawn,,39.8,57.4,42.3,56.5,44.7,54.3,77.7,14.0,6.7,1.1,0.3,3.9,26.3 ,270 ,27.7 ,303 ,"$45,001",374,,,,289,"358,023","142,367","205,348","345,768","146,282","195,415","341,091","152,434","185,088","355,512","147,887","207,625",0,,,,,,,,,,,"733,879","546,455","110,223","64,728","9,007","2,461","38,339","567,664","440,882","79,570","38,023","6,515","1,806","22,272"
North Carolina 6th,NC-06,Republican,Mark,Walker,(MARK WAWL-ker),/mɑɹk 'wɔl.kəɹ/,2014,1969,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,40.8,59.2,      Redrawn,,      Redrawn,,41.4,56.1,43.2,55.9,45.2,53.8,71.1,19.9,7.1,1.2,0.5,3.8,24.6 ,299 ,28.3 ,297 ,"$47,335",349,,,,290,"358,853","148,725","201,387","346,117","149,442","193,609","330,452","149,516","177,661","351,150","143,167","207,983",0,,,,,,,,,,,"733,554","498,545","152,617","67,658","9,675","4,210","35,573","558,250","396,980","110,881","39,909","6,802","2,986","21,428"
North Carolina 7th,NC-07,Republican,David,Rouzer,(DAY-vid ROW-zer) [Rhymes with cow],/'deɪ.vɪd 'ɹaʊ.zəɹ/,2014,1972,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,39.1,60.9,      Redrawn,,      Redrawn,,39.9,57.6,43.2,55.9,44.8,54.7,70.8,20.3,7.0,0.8,0.9,4.3,24.9 ,296 ,29.7 ,273 ,"$45,002",373,,,,291,"357,908","142,809","206,150","337,348","145,865","188,514","325,028","145,487","177,670","347,706","135,905","211,801",0,,,,,,,,,,,"734,750","496,463","158,230","65,242","5,843","6,801","39,737","569,264","403,145","115,434","39,604","4,520","5,049","24,311"
North Carolina 8th,NC-08,Republican,Richard,Hudson,(RICH-erd HUHD-suhn),/'ɹɪ.tʃəɹd 'hʌd.sən/,2012,1971,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,41.2,58.8,      Redrawn,,      Redrawn,,41.1,56.1,44.4,54.7,45.4,54.0,66.9,22.5,7.3,2.0,1.2,3.3,26.5 ,264 ,29.5 ,277 ,"$50,570",301,,,,292,"331,234","136,233","185,873","318,307","141,264","174,101","311,155","141,319","167,942","323,045","133,182","189,863",0,,,,,,,,,,,"733,160","464,581","177,658","66,336","14,810","9,366","29,782","544,179","364,259","122,182","39,473","11,012","6,661","18,228"
North Carolina 9th,NC-09,Republican,Robert,Pittenger,(RAH-bert PITT-n-jer),/'ɹɑ.bɹt 'pɪ.ʔn.dʒəɹ/,2012,1948,Man,White - Non-Hispanic,Christian - Evangelical Protestant,No,Re-elected,41.8,58.2,      Redrawn,,      Redrawn,,42.8,54.4,43.8,55.4,45.5,54.3,64.1,19.6,5.9,2.0,8.0,3.0,33.8 ,147 ,41.5 ,121 ,"$55,913",218,,,,293,"343,888","147,072","186,974","334,522","146,474","185,251","314,446","142,985","170,694","332,493","139,041","193,452",0,,,,,,,,,,,"733,124","452,011","149,844","52,079","15,076","60,674","25,851","536,830","344,302","104,984","31,880","10,847","42,911","15,932"
North Carolina 10th,NC-10,Republican,Patrick,McHenry,(PAT-chrik mick-HEN-ree),/'pæ.tʃɹɪk mɪk.'hɛn.ɹi,2004,1975,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,36.9,63.1,      Redrawn,,      Redrawn,,36.4,61.0,40.4,58.5,41.7,57.5,81.9,11.6,4.5,1.3,0.3,2.1,24.6 ,299 ,26.5 ,322 ,"$46,508",358,,,,294,"355,111","129,233","216,790","340,408","137,613","199,068","333,115","138,913","191,615","349,744","128,919","220,825",0,,,,,,,,,,,"736,057","582,998","95,259","41,449","10,579","2,478","19,284","568,988","466,093","66,108","25,543","7,223","1,896","11,968"
North Carolina 11th,NC-11,Republican,Mark,Meadows,(MARK MED-ohz),/mɑɹk 'mɛ.ɾoʊz/,2012,1959,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,35.9,64.1,      Redrawn,,      Redrawn,,34.0,63.2,39.1,59.6,41.6,57.1,89.6,3.3,4.3,1.0,1.3,2.2,24.0 ,308 ,25.2 ,347 ,"$43,855",386,,,,295,"364,055","123,806","230,001","339,041","132,399","202,151","339,224","141,076","193,688","359,508","129,103","230,405",0,,,,,,,,,,,"733,447","640,542","27,828","41,284","8,329","11,038","20,162","580,523","519,927","18,995","25,134","5,645","7,637","12,551"
North Carolina 12th,NC-12,Democratic,Alma,Adams,(AL-muh ADD-umz),/'æl.mə 'æ.ɾəmz/,2014 Special,1946,Woman,Black - African-American,Christian - Baptist,No,Re-elected,67.0,33.0,      Redrawn,,      Redrawn,,68.4,28.4,67.8,31.3,69.5,31.6,46.6,36.2,12.1,4.7,0.5,6.4,39.8 ,81 ,52.3 ,48 ,"$59,268",188,,,,296,"356,321","243,736","101,161","340,787","231,080","106,731","304,107","211,205","95,981","349,300","234,115","115,185",0,,,,,,,,,,,"733,894","312,781","281,939","102,704","34,323","3,734","54,218","546,981","254,771","198,049","66,437","25,837","2,669","34,997"
North Carolina 13th,NC-13,Republican,Ted,Budd,(TED BUHD),/tɛd bʌd/,2016,1971,Man,White - Non-Hispanic,Christian - Nondenominational,No,Open - Seat Eliminated in Redistricting/Lost Primary in NC-02,43.9,56.1,      Redrawn,,      Redrawn,,44.0,53.4,46.1,52.9,48.1,51.2,69.8,21.2,5.7,2.6,0.4,3.0,27.0 ,255 ,29.6 ,276 ,"$47,440",346,,,,297,"363,851","160,004","194,170","353,107","162,903","186,922","341,612","164,321","174,934","355,492","156,049","199,443",0,,,,,,,,,,,"729,710","487,239","164,132","52,139","20,836","3,460","27,403","558,306","389,588","118,192","32,037","14,775","2,512","16,961"
North Dakota At-Large,ND-AL,Republican,Kevin,Cramer,(KEV-in KRAY-mer),/'kɛ.vɪn 'kɹeɪ.məɹ/,2012,1961,Man,White - Non-Hispanic,Christian - Evangelical Protestant,No,Re-elected,23.7,69.1,38.5,55.5,43.2,56.8,27.7,64.1,38.9,58.7,44.7,53.3,91.0,1.0,1.5,1.1,4.4,1.0,29.6 ,209 ,31.0 ,250 ,"$60,656",177,,,,298,"337,963","93,758","216,794","320,767","124,827","188,163","316,615","141,403","168,887","338,459","80,377","233,980","24,102","248,670","95,678","138,100","14,892","131,869","173,433",,,,,"672,591","598,007","7,720","13,467","7,129","35,562","10,706","522,720","475,686","5,157","8,064","5,782","22,786","5,245"
Ohio 1st,OH-01,Republican,Steve,Chabot,(STEEV SHA-buht),/stiv 'ʃæ.bət/,"2010, 1994-2008",1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,40.8,59.2,36.8,63.2,39.4,60.6,44.6,51.2,46.3,52.4,47.2,51.8,73.4,20.6,2.2,2.6,0.2,1.1,33.8 ,147 ,37.8 ,160 ,"$55,712",221,,,,299,"361,297","160,988","185,025","363,593","168,195","190,504","363,285","171,529","188,091","354,788","144,644","210,014",130,"197,383","72,604","124,779",0,"131,490","201,907",,,,,"720,719","510,134","158,235","18,661","18,716","1,089","13,884","539,642","395,873","111,211","11,692","13,790",876,"6,200"
Ohio 2nd,OH-02,Republican,Brad,Wenstrup,(BRADD WHEN-stroop) [OO as in good],/bɹæd 'wɛn.stɹʊp/,2012,1958,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,32.8,65.0,34.0,66.0,41.4,58.6,39.7,55.8,43.7,54.7,44.3,54.2,88.1,8.0,1.3,1.2,0.2,1.1,32.3 ,166 ,33.1 ,222 ,"$55,472",224,,,,300,"354,868","140,773","197,877","355,117","155,027","194,409","361,562","160,301","196,040","340,279","111,694","221,193","7,392","201,111","68,453","132,658",0,"137,082","194,299",,,,,"720,903","626,169","59,936","11,731","8,810","1,516","12,741","547,568","482,567","43,827","7,332","6,660","1,233","5,949"
Ohio 3rd,OH-03,Democratic,Joyce,Beatty,(JOYS BAY-tee),/dʒɔɪs 'beɪ.ɾi/,2012,1950,Woman,Black - African-American,Christian - Baptist,No,Re-elected,68.6,31.4,64.1,35.9,72.2,27.8,67.0,28.6,69.7,28.9,67.4,31.3,60.1,29.4,5.0,3.2,0.2,2.0,27.8 ,242 ,33.1 ,222 ,"$45,860",363,,,,301,"314,155","210,445","89,824","312,938","217,969","90,434","310,574","209,277","97,330","291,351","199,791","91,560",0,"143,261","91,769","51,475",17,"201,921","77,903",,,,,"715,597","397,475","228,563","43,044","21,491","1,630","23,394","535,897","322,169","157,492","26,746","17,314","1,333","10,843"
Ohio 4th,OH-04,Republican,Jim,Jordan,(JIM JORE-dn),/dʒɪm 'dʒɔɹ.ʔn/,2006,1964,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,32.0,68.0,32.3,67.7,38.5,61.5,30.7,64.3,42.0,56.0,43.7,54.4,90.6,5.0,2.5,0.7,0.2,1.0,17.9 ,407 ,18.1 ,425 ,"$52,632",255,,,,302,"324,648","99,641","208,715","331,390","139,228","185,512","344,253","150,312","187,369","309,208","98,981","210,227",0,"186,072","60,165","125,907",0,"114,214","182,643",,,,,"720,629","641,230","36,317","22,839","5,472","1,325","13,446","546,601","495,314","27,355","13,501","4,065","1,059","5,307"
Ohio 5th,OH-05,Republican,Bob,Latta,(BAHB LATT-uh),/bɑb 'læ.ɾə/,2007 Special,1956,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,29.1,70.9,28.9,66.5,40.6,59.4,34.6,59.7,44.1,53.9,46.0,52.2,92.2,2.3,3.4,1.2,0.2,0.8,26.2 ,272 ,26.1 ,331 ,"$57,171",205,,,,303,"359,624","124,410","214,653","362,052","159,592","195,075","373,037","171,746","194,685","344,991","100,392","244,599",0,"202,300","58,507","134,449","9,344","137,806","201,514",,,,,"720,433","652,709","17,105","31,502","8,732","1,232","9,153","549,592","506,458","12,650","18,832","6,459",972,"4,221"
Ohio 6th,OH-06,Republican,Bill,Johnson,(BILL JAHN-suhn),/bɪl 'dʒɑn.sən/,2010,1954,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,29.3,70.7,38.6,58.2,46.7,53.3,26.7,69.3,42.7,55.2,44.7,53.1,95.7,2.2,0.7,0.4,0.2,0.8,15.9 ,419 ,16.1 ,432 ,"$46,839",353,,,,304,"320,064","85,512","221,852","319,939","136,522","176,593","333,655","149,059","177,089","302,755","88,780","213,975",0,"190,652","73,561","111,026","6,065","144,444","164,536",,,,,"721,327","685,944","15,512","6,202","2,724","1,377","9,568","561,586","537,387","12,350","3,945","2,091","1,136","4,677"
